x_coordinate,y_coordinate,concentration_mg_L,time_final
10.0,5.75,1.4186410154729057e-13,300.0
10.0,6.0,4.5062448676327153e-13,300.0
10.0,6.25,1.380098568061102e-12,300.0
10.0,6.5,4.079586772773806e-12,300.0
10.0,6.75,1.1651218729279506e-11,300.0
10.0,7.0,3.2180695615196574e-11,300.0
10.0,7.25,8.603801535796501e-11,300.0
10.0,7.5,2.2286466890353566e-10,300.0
10.0,7.75,5.597791929458537e-10,300.0
10.0,8.0,1.364489998126835e-09,300.0
10.0,8.25,3.2302846319627154e-09,300.0
10.0,8.5,7.432808068633346e-09,300.0
10.0,8.75,1.6634831091710076e-08,300.0
10.0,9.0,3.623559789897714e-08,300.0
10.0,9.25,7.687232507536058e-08,300.0
10.0,9.5,1.587652204587368e-07,300.0
10.0,9.75,3.1267143490947396e-07,300.0
10.0,10.0,3.1267143490947396e-07,300.0
15.0,0.0,0.0,300.0
15.0,0.25,4.7591604615032565e-30,300.0
15.0,0.5,7.718212670919797e-29,300.0
15.0,0.75,8.944038248235158e-28,300.0
15.0,1.0,8.775820789491016e-27,300.0
15.0,1.25,7.688120115620365e-26,300.0
15.0,1.5,6.156959575309589e-25,300.0
15.0,1.75,4.564502444309644e-24,300.0
15.0,2.0,3.156505107728645e-23,300.0
15.0,2.25,2.0464801851258648e-22,300.0
15.0,2.5,1.2485106648487519e-21,300.0
15.0,2.75,7.18795047425013e-21,300.0
15.0,3.0,3.9145202941844376e-20,300.0
15.0,3.25,2.0207486792570533e-19,300.0
15.0,3.5,9.906466677128817e-19,300.0
15.0,3.75,4.620085243430609e-18,300.0
15.0,4.0,2.053114445899601e-17,300.0
15.0,4.25,8.7072285782636e-17,300.0
15.0,4.5,3.529326063234248e-16,300.0
15.0,4.75,1.3691879041916628e-15,300.0
15.0,5.0,5.0907645060240415e-15,300.0
15.0,5.25,1.8164230756785165e-14,300.0
15.0,5.5,6.227409862754952e-14,300.0
15.0,5.75,2.0538772602782025e-13,300.0
15.0,6.0,6.524042090675597e-13,300.0
15.0,6.25,1.9980762772292984e-12,300.0
15.0,6.5,5.906335651520214e-12,300.0
15.0,6.75,1.686837681632653e-11,300.0
15.0,7.0,4.6590498255478475e-11,300.0
15.0,7.25,1.245639292687849e-10,300.0
15.0,7.5,3.226585120305771e-10,300.0
15.0,7.75,8.104358418048902e-10,300.0
15.0,8.0,1.9754781441752325e-09,300.0
15.0,8.25,4.676733765785034e-09,300.0
15.0,8.5,1.0761052665298651e-08,300.0
15.0,8.75,2.4083533968519686e-08,300.0
15.0,9.0,5.246108042905187e-08,300.0
15.0,9.25,1.1129401084574269e-07,300.0
15.0,9.5,2.2985667735859077e-07,300.0
15.0,9.75,4.5267857230888916e-07,300.0
15.0,10.0,4.5267857230888916e-07,300.0
20.0,0.0,0.0,300.0
20.0,0.25,6.111981493214663e-30,300.0
20.0,0.5,9.912162737873678e-29,300.0
20.0,0.75,1.1486436870937001e-27,300.0
20.0,1.0,1.1270402541835887e-26,300.0
20.0,1.25,9.873516161686207e-26,300.0
20.0,1.5,7.907113685954358e-25,300.0
20.0,1.75,5.8619906852565446e-24,300.0
20.0,2.0,4.053761329297115e-23,300.0
20.0,2.25,2.628204906507519e-22,300.0
20.0,2.5,1.6034075811402166e-21,300.0
20.0,2.75,9.231170031511309e-21,300.0
20.0,3.0,5.027246969615236e-20,300.0
20.0,3.25,2.5951590099999637e-19,300.0
20.0,3.5,1.2722441108529863e-18,300.0
20.0,3.75,5.9333730018415315e-18,300.0
20.0,4.0,2.636724878687333e-17,300.0
20.0,4.25,1.1182311830178532e-16,300.0
20.0,4.5,4.532558635164366e-16,300.0
20.0,4.75,1.7583879348499357e-15,300.0
20.0,5.0,6.537845325803245e-15,300.0
20.0,5.25,2.3327523563030413e-14,300.0
20.0,5.5,7.997588738208853e-14,300.0
20.0,5.75,2.637704219921254e-13,300.0
20.0,6.0,8.378540069536182e-13,300.0
20.0,6.25,2.566041337236515e-12,300.0
20.0,6.5,7.585246444161776e-12,300.0
20.0,6.75,2.1663311841219953e-11,300.0
20.0,7.0,5.983411844566482e-11,300.0
20.0,7.25,1.599719446509216e-10,300.0
20.0,7.5,4.143760377254349e-10,300.0
20.0,7.75,1.0408068132341818e-09,300.0
20.0,8.0,2.5370188543138756e-09,300.0
20.0,8.25,6.006121175197439e-09,300.0
20.0,8.5,1.3819940548725516e-08,300.0
20.0,8.75,3.0929407901265045e-08,300.0
20.0,9.0,6.73734200089105e-08,300.0
20.0,9.25,1.429299120568462e-07,300.0
20.0,9.5,2.951946109799473e-07,300.0
20.0,9.75,5.813547239436812e-07,300.0
20.0,10.0,5.813547239436812e-07,300.0
25.0,0.0,0.0,300.0
25.0,0.25,7.343432992492439e-30,300.0
25.0,0.5,1.1909280636238661e-28,300.0
25.0,0.75,1.3800741949764363e-27,300.0
25.0,1.0,1.3541180675632796e-26,300.0
25.0,1.25,1.1862847450582539e-25,300.0
25.0,1.5,9.500251148764302e-25,300.0
25.0,1.75,7.043073594446331e-24,300.0
25.0,2.0,4.870519389137061e-23,300.0
25.0,2.25,3.1577396567157446e-22,300.0
25.0,2.5,1.926464587785441e-21,300.0
25.0,2.75,1.109108019728799e-20,300.0
25.0,3.0,6.04014428846916e-20,300.0
25.0,3.25,3.118035545693115e-19,300.0
25.0,3.5,1.5285777512205018e-18,300.0
25.0,3.75,7.128837763547224e-18,300.0
25.0,4.0,3.167976064440026e-17,300.0
25.0,4.25,1.3435340182313327e-16,300.0
25.0,4.5,5.445785011520565e-16,300.0
25.0,4.75,2.112670403772755e-15,300.0
25.0,5.0,7.855099413129901e-15,300.0
25.0,5.25,2.8027584506160853e-14,300.0
25.0,5.5,9.608953464536603e-14,300.0
25.0,5.75,3.1691522532186575e-13,300.0
25.0,6.0,1.0066658760615157e-12,300.0
25.0,6.25,3.0830504345421432e-12,300.0
25.0,6.5,9.113530678008937e-12,300.0
25.0,6.75,2.6028059896147708e-11,300.0
25.0,7.0,7.188955959589183e-11,300.0
25.0,7.25,1.9220325087739112e-10,300.0
25.0,7.5,4.978649064607824e-10,300.0
25.0,7.75,1.250509463534383e-09,300.0
25.0,8.0,3.0481794003275395e-09,300.0
25.0,8.25,7.216238687553727e-09,300.0
25.0,8.5,1.6604390672161936e-08,300.0
25.0,8.75,3.716108114013161e-08,300.0
25.0,9.0,8.094784506574274e-08,300.0
25.0,9.25,1.717274756418524e-07,300.0
25.0,9.5,3.546704802933648e-07,300.0
25.0,9.75,6.984861245281256e-07,300.0
25.0,10.0,6.984861245281256e-07,300.0
30.0,0.0,0.0,300.0
30.0,0.25,8.452226696854587e-30,300.0
30.0,0.5,1.3707477114120126e-28,300.0
30.0,0.75,1.5884532412181521e-27,300.0
30.0,1.0,1.5585779652614552e-26,300.0
30.0,1.25,1.3654032874285246e-25,300.0
30.0,1.5,1.0934705326810991e-24,300.0
30.0,1.75,8.106515598785248e-24,300.0
30.0,2.0,5.605924846655703e-23,300.0
30.0,2.25,3.634530469394519e-22,300.0
30.0,2.5,2.2173437221565468e-21,300.0
30.0,2.75,1.2765735243269943e-20,300.0
30.0,3.0,6.952152615216666e-20,300.0
30.0,3.25,3.5888312813733577e-19,300.0
30.0,3.5,1.7593794257726786e-18,300.0
30.0,3.75,8.205228890876803e-18,300.0
30.0,4.0,3.646312231662829e-17,300.0
30.0,4.25,1.5463956605900037e-16,300.0
30.0,4.5,6.268049806453126e-16,300.0
30.0,4.75,2.431664670834711e-15,300.0
30.0,5.0,9.041148686061011e-15,300.0
30.0,5.25,3.2259496452497496e-14,300.0
30.0,5.5,1.1059818242856556e-13,300.0
30.0,5.75,3.647665358032408e-13,300.0
30.0,6.0,1.1586632033488493e-12,300.0
30.0,6.25,3.548562662242023e-12,300.0
30.0,6.5,1.0489589408329224e-11,300.0
30.0,6.75,2.995805437096072e-11,300.0
30.0,7.0,8.274420854963907e-11,300.0
30.0,7.25,2.2122412504056125e-10,300.0
30.0,7.5,5.730377642665471e-10,300.0
30.0,7.75,1.4393243781073188e-09,300.0
30.0,8.0,3.508424938316555e-09,300.0
30.0,8.25,8.30582009205457e-09,300.0
30.0,8.5,1.911148945315474e-08,300.0
30.0,8.75,4.27720328587533e-08,300.0
30.0,9.0,9.317015095969379e-08,300.0
30.0,9.25,1.97656566259972e-07,300.0
30.0,9.5,4.082220447429863e-07,300.0
30.0,9.75,8.039501944693231e-07,300.0
