x_coordinate,y_coordinate,concentration_mg_L,time_final
5.0,3.5,5.4077761244515115e-11,300.0
5.0,3.75,1.844622283539082e-10,300.0
5.0,4.0,5.963119799532947e-10,300.0
5.0,4.25,1.830663963394888e-09,300.0
5.0,4.5,5.347619205683221e-09,300.0
5.0,4.75,1.489137981651028e-08,300.0
5.0,5.0,3.960024071396851e-08,300.0
5.0,5.25,1.0073410368802945e-07,300.0
5.0,5.5,2.4550580579112333e-07,300.0
5.0,5.75,5.741288643631135e-07,300.0
5.0,6.0,1.2901557670638922e-06,300.0
5.0,6.25,2.789662358547602e-06,300.0
5.0,6.5,5.811658574325355e-06,300.0
5.0,6.75,1.1679444857579304e-05,300.0
5.0,7.0,2.2668716046938147e-05,300.0
5.0,7.25,4.2540165819475944e-05,300.0
5.0,7.5,7.726832438893259e-05,300.0
5.0,7.75,0.00013598016414722872,300.0
5.0,8.0,0.0002320832027670167,300.0
5.0,8.25,0.00038451235396558205,300.0
5.0,8.5,0.0006189606165871731,300.0
5.0,8.75,0.000968889156825306,300.0
5.0,9.0,0.001476050784454294,300.0
5.0,9.25,0.0021902059625014563,300.0
5.0,9.5,0.0031668707622369814,300.0
5.0,9.75,0.004426865205103264,300.0
5.0,10.0,0.004426865205103264,300.0
10.0,0.0,0.0,300.0
10.0,0.25,1.4764955706807394e-20,300.0
10.0,0.5,1.9406363080134887e-19,300.0
10.0,0.75,1.8089960799751567e-18,300.0
10.0,1.0,1.4165715074145565e-17,300.0
10.0,1.25,9.822026798503998e-17,300.0
10.0,1.5,6.17175226445237e-16,300.0
10.0,1.75,3.558265034989824e-15,300.0
10.0,2.0,1.8966260792766765e-14,300.0
10.0,2.25,9.395120123207638e-14,300.0
10.0,2.5,4.3423264484620007e-13,300.0
10.0,2.75,1.8787263666290586e-12,300.0
10.0,3.0,7.630790212611507e-12,300.0
10.0,3.25,2.9172356499341565e-11,300.0
10.0,3.5,1.0522563243872845e-10,300.0
10.0,3.75,3.589304275349621e-10,300.0
10.0,4.0,1.1603161670836466e-09,300.0
10.0,4.25,3.562143604264332e-09,300.0
10.0,4.5,1.040550700805138e-08,300.0
10.0,4.75,2.8975950532575276e-08,300.0
10.0,5.0,7.705495196710709e-08,300.0
10.0,5.25,1.9601045218087268e-07,300.0
10.0,5.5,4.777101237019866e-07,300.0
10.0,5.75,1.117151394509219e-06,300.0
10.0,6.0,2.510410650674982e-06,300.0
10.0,6.25,5.4281798876304834e-06,300.0
10.0,6.5,1.1308438686557462e-05,300.0
10.0,6.75,2.2726089885583706e-05,300.0
10.0,7.0,4.4109222606700306e-05,300.0
10.0,7.25,8.277546308421734e-05,300.0
10.0,7.5,0.00015035015905694166,300.0
10.0,7.75,0.00026459273333643505,300.0
10.0,8.0,0.00045159176333064017,300.0
10.0,8.25,0.0007481911196641891,300.0
10.0,8.5,0.0012043846542804239,300.0
10.0,8.75,0.0018852816245465613,300.0
10.0,9.0,0.002872125267549801,300.0
10.0,9.25,0.004261740189194391,300.0
10.0,9.5,0.006162150279800252,300.0
10.0,9.75,0.008613867255583215,300.0
10.0,10.0,0.008613867255583215,300.0
15.0,0.0,0.0,300.0
15.0,0.25,2.150326035220667e-20,300.0
15.0,0.5,2.82628735528889e-19,300.0
15.0,0.75,2.634570264871886e-18,300.0
15.0,1.0,2.0630542963228306e-17,300.0
15.0,1.25,1.4304519194581159e-16,300.0
15.0,1.5,8.988363507724661e-16,300.0
15.0,1.75,5.182155335967425e-15,300.0
15.0,2.0,2.7621918594065688e-14,300.0
15.0,2.25,1.368278325956796e-13,300.0
15.0,2.5,6.324039380386107e-13,300.0
15.0,2.75,2.736122955114642e-12,300.0
15.0,3.0,1.11132625496514e-11,300.0
15.0,3.25,4.2485775714895786e-11,300.0
15.0,3.5,1.5324755762564808e-10,300.0
15.0,3.75,5.227358289334209e-10,300.0
15.0,4.0,1.689850591200965e-09,300.0
15.0,4.25,5.187801595755967e-09,300.0
15.0,4.5,1.5154274463683553e-08,300.0
15.0,4.75,4.219971902817612e-08,300.0
15.0,5.0,1.1222054783448861e-07,300.0
15.0,5.25,2.854637856508311e-07,300.0
15.0,5.5,6.957227297252574e-07,300.0
15.0,5.75,1.6269856901834373e-06,300.0
15.0,6.0,3.656086151452271e-06,300.0
15.0,6.25,7.905436073055305e-06,300.0
15.0,6.5,1.646926399901954e-05,300.0
15.0,6.75,3.309757721659499e-05,300.0
15.0,7.0,6.423930360849532e-05,300.0
15.0,7.25,0.00012055159815768107,300.0
15.0,7.5,0.0002189652379094188,300.0
15.0,7.75,0.00038534445868785764,300.0
15.0,8.0,0.0006576837884090584,300.0
15.0,8.25,0.0010896413819398711,300.0
15.0,8.5,0.0017540265456095646,300.0
15.0,8.75,0.0027456620878545173,300.0
15.0,9.0,0.004182867701040344,300.0
15.0,9.25,0.006206655114811764,300.0
15.0,9.5,0.008974346135258243,300.0
15.0,9.75,0.012544940090136255,300.0
15.0,10.0,0.012544940090136255,300.0
20.0,0.0,0.0,300.0
20.0,0.25,2.777961712091085e-20,300.0
20.0,0.5,3.6512221350035054e-19,300.0
20.0,0.75,3.4035467620838414e-18,300.0
20.0,1.0,2.6652170822226594e-17,300.0
20.0,1.25,1.8479711503273264e-16,300.0
20.0,1.5,1.1611880019642153e-15,300.0
20.0,1.75,6.6947185903570435e-15,300.0
20.0,2.0,3.568418033475945e-14,300.0
20.0,2.25,1.7676501503070576e-13,300.0
20.0,2.5,8.169893820054806e-13,300.0
20.0,2.75,3.534739664129795e-12,300.0
20.0,3.0,1.4356989153482225e-11,300.0
20.0,3.25,5.4886472617748514e-11,300.0
20.0,3.5,1.979772551466108e-10,300.0
