x_coordinate,y_coordinate,concentration_mg_L,time_final
5.0,4.0,0.0007645797691404226,300.0
5.0,4.25,0.00030863042658533406,300.0
5.0,4.5,0.00011790599126490465,300.0
5.0,4.75,4.276010591696151e-05,300.0
5.0,5.0,1.4761471992486361e-05,300.0
5.0,5.25,4.862605573655355e-06,300.0
5.0,5.5,1.5318373381019152e-06,300.0
5.0,5.75,4.624083577670017e-07,300.0
5.0,6.0,1.3399686395030462e-07,300.0
5.0,6.25,3.733682859697117e-08,300.0
5.0,6.5,1.0018711053771283e-08,300.0
5.0,6.75,2.592524570303979e-09,300.0
5.0,7.0,6.477819911326553e-10,300.0
5.0,7.25,1.5647569596086842e-10,300.0
5.0,7.5,3.658114773790295e-11,300.0
5.0,7.75,8.285292140727035e-12,300.0
5.0,8.0,1.8197709728508133e-12,300.0
5.0,8.25,3.879502719047267e-13,300.0
5.0,8.5,8.034411531345387e-14,300.0
5.0,8.75,1.6176983513907517e-14,300.0
5.0,9.0,3.1690838033946554e-15,300.0
5.0,9.25,6.044666879982898e-16,300.0
5.0,9.5,1.1234734442894068e-16,300.0
5.0,9.75,2.086312937013908e-17,300.0
5.0,10.0,2.086312937013908e-17,300.0
10.0,0.0,0.0,300.0
10.0,0.25,0.011366605011508227,300.0
10.0,0.5,0.04044751510937756,300.0
10.0,0.75,0.08906221701457412,300.0
10.0,1.0,0.14678604977262294,300.0
10.0,1.25,0.19468067406972098,300.0
10.0,1.5,0.21637609672543856,300.0
10.0,1.75,0.20704581432854274,300.0
10.0,2.0,0.17395798646572314,300.0
10.0,2.25,0.13029312853460723,300.0
10.0,2.5,0.08805193214831657,300.0
10.0,2.75,0.05422209653013027,300.0
10.0,3.0,0.03067568189071594,300.0
10.0,3.25,0.01605455978496063,300.0
10.0,3.5,0.007819099792402036,300.0
10.0,3.75,0.0035619280178980604,300.0
10.0,4.0,0.0015244456498552858,300.0
10.0,4.25,0.0006153580439982997,300.0
10.0,4.5,0.00023508505289930893,300.0
10.0,4.75,8.525658156627956e-05,300.0
10.0,5.0,2.9431934602900628e-05,300.0
10.0,5.25,9.695231567412575e-06,300.0
